id	uid	author	attribution	signature	signature_index	title	part	translator	dedication	type	year	publication	censorship	censor	volume	number	section_content	section_form	first_page	last_page	length	filename_txt	comments
34	32	"Огарев Н. П."	"установлено"	"Н. Огарев"	"Н. П. Огарева"	"Отъезд («Ну, прощай же, брат! я поеду в даль...»)"	"нет"	"нет"	"нет"	"стихи"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Словесность"	"Словесность"	196	196	1	"1847_2_4"	""
35	33	"Тургенев И. С."	"установлено"	"Ив. Тургенев"	"И. С. Тургенева"	"Петр Петрович Каратаев. Рассказ"	"нет"	"нет"	"нет"	"проза"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Словесность"	"Словесность"	197	212	16	"1847_2_5"	""
36	4764	"Панаев И. И."	"установлено"	"Иван Панаев"	"И. И. Панаева"	"Родственники. Нравственная повесть"	"2"	"нет"	"нет"	"проза"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Словесность"	"Словесность"	213	260	48	"1847_2_6"	""
37	34	"Ферри Г."	"установлено"	"Ферри"	"Ферри"	"Сальтеадор. Мексиканские сцены"	"нет"	"нет"	"нет"	"проза"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Словесность"	"Словесность"	261	300	40	"1847_2_7"	""
38	35	"неизвестный"	"не установлено"	"нет"	"нет"	"От редакции «Современника»"	"нет"	"нет"	"нет"	"проза"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Науки и художества"	"Науки и художества"	75	76	2	"1847_2_8"	""
39	36	"Уваров С. С."	"установлено"	"нет"	"Графа С. С. Уварова"	"Исследование об элевсинских таинствах"	"нет"	"Введенский И. И."	"нет"	"проза"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Науки и художества"	"Науки и художества"	77	108	32	"1847_2_9"	""
40	37	"Соловьев С. М."	"установлено"	"С. Соловьев"	"С. Соловьева (профессор московского университета)"	"Даниил Романович, король галицкий"	"нет"	"нет"	"нет"	"проза"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Науки и художества"	"Науки и художества"	109	124	16	"1847_2_10"	""
41	38	"Литтре Е."	"установлено"	"Е. Литтре"	"Е. Литтре"	"Важность и успехи физиологии. Статья Е. Литтре"	"нет"	"нет"	"нет"	"проза"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Науки и художества"	"Науки и художества"	125	164	40	"1847_2_11"	""
42	39	"Белинский В. Г."	"установлено"	"В. Б."	"нет"	"Выбранные места из переписки с друзьями Николая Гоголя. СПб. 1847"	"нет"	"нет"	"нет"	"проза"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Критика и библиография"	"Критика и библиография"	103	124	22	"1847_2_12"	""
43	40	"Никитенко А. В."	"установлено"	"нет"	"нет"	"Полное собрание сочинений И. Крылова, с биографиею его, писанною П. А. Плетневым. Три тома. СПб. 1847. Жизнь и сочинения Ивана Андреевича Крылова. Сочинение академика Михаила Лобанова. СПб. 1847"	"нет"	"нет"	"нет"	"проза"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Критика и библиография"	"Критика и библиография"	124	134	11	"1847_2_13"	""
44	41	"Белинский В. Г."	"установлено"	"нет"	"нет"	"Повести, сказки и рассказы казака Луганского. Четыре части. СПб. 1846"	"нет"	"нет"	"нет"	"проза"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Критика и библиография"	"Критика и библиография"	134	138	5	"1847_2_14"	""
45	42	"Белинский В. Г."	"установлено"	"нет"	"нет"	"Очерки Рима. Аполлона Майкова. СПб. 1847"	"нет"	"нет"	"нет"	"проза"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Критика и библиография"	"Критика и библиография"	138	141	4	"1847_2_15"	""
46	43	"Белинский В. Г."	"установлено"	"нет"	"нет"	"Воспоминания Фаддея Булгарина. Отрывки из виденного, слышанного и испытанного в жизни. Часть третья. СПб. 1847"	"нет"	"нет"	"нет"	"проза"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Критика и библиография"	"Критика и библиография"	141	143	3	"1847_2_16"	""
47	44	"неизвестный"	"не установлено"	"нет"	"нет"	"Дон Жуан. Поэма лорда Байрона. Перевод Н. Жандра. СПб. 1846"	"нет"	"нет"	"нет"	"проза"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Критика и библиография"	"Критика и библиография"	143	144	2	"1847_2_17"	""
48	45	"неизвестный"	"не установлено"	"нет"	"нет"	"Чтения в Императорском обществе истории и древностей российских при Московском университете. Заседание 30-го ноября 1846 года. № 4"	"нет"	"нет"	"нет"	"проза"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Критика и библиография"	"Критика и библиография"	144	144	1	"1847_2_18"	""
49	46	"Небольсин Г. П."	"установлено"	"Г. Н—ъ"	"нет"	"Государственная внешняя торговля в разных ее видах, за 1845 г. (40 таблиц)"	"нет"	"нет"	"нет"	"проза"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Критика и библиография"	"Критика и библиография"	144	162	19	"1847_2_19"	""
50	47	"неизвестный"	"не установлено"	"нет"	"нет"	"Воспоминания о плене в Испании и у варварийцев, с 1811-го по 1814-ый год. (Из записок одного немецкого офицера, доставленных в редакцию самим автором)"	"нет"	"Кронеберг А. И., неизвестный"	"нет"	"проза"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Смесь"	"Смесь"	85	105	21	"1847_2_20"	"Дата цензурного разрешения не установлена окончательно."
51	48	"Небольсин Г. П."	"под вопросом"	"нет"	"нет"	"Американская торговля льдом"	"нет"	"нет"	"нет"	"проза"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Смесь"	"Смесь"	105	110	6	"1847_2_21"	"Дата цензурного разрешения не установлена окончательно."
52	49	"Небольсин Г. П."	"под вопросом"	"нет"	"нет"	"Прошлогодний отпуск хлеба из русских портов"	"нет"	"нет"	"нет"	"проза"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Смесь"	"Смесь"	110	111	2	"1847_2_22"	"Дата цензурного разрешения не установлена окончательно."
53	50	"Небольсин Г. П."	"под вопросом"	"нет"	"нет"	"Возвышение цены на соль в Петербурге"	"нет"	"нет"	"нет"	"проза"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Смесь"	"Смесь"	111	112	2	"1847_2_23"	"Дата цензурного разрешения не установлена окончательно."
54	51	"Небольсин Г. П."	"под вопросом"	"нет"	"нет"	"Что такое сахар «Лумп»?"	"нет"	"нет"	"нет"	"проза"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Смесь"	"Смесь"	112	115	4	"1847_2_24"	"Дата цензурного разрешения не установлена окончательно."
55	52	"Небольсин Г. П."	"под вопросом"	"нет"	"нет"	"Предстоящие перевороты в торговле медью"	"нет"	"нет"	"нет"	"проза"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Смесь"	"Смесь"	115	117	3	"1847_2_25"	"Дата цензурного разрешения не установлена окончательно."
56	53	"Кронеберг А. И."	"установлено"	"нет"	"нет"	"Центральное солнце"	"нет"	"нет"	"нет"	"проза"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Смесь"	"Смесь"	117	121	5	"1847_2_26"	"Дата цензурного разрешения не установлена окончательно."
57	54	"Комаров А. С."	"под вопросом"	"нет"	"нет"	"Неточность Мариоттова закона и новейшие исследования в физике газов"	"нет"	"нет"	"нет"	"проза"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Смесь"	"Смесь"	121	123	3	"1847_2_27"	"Дата цензурного разрешения не установлена окончательно."
58	55	"Комаров А. С."	"под вопросом"	"нет"	"нет"	"Опыты над взрывом скал посредством огнестрельной хлопчатой бумаги"	"нет"	"нет"	"нет"	"проза"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Смесь"	"Смесь"	123	125	3	"1847_2_28"	"Дата цензурного разрешения не установлена окончательно."
59	56	"Ильенков П. А."	"под вопросом"	"нет"	"нет"	"Новые химические исследования относительно общественного здоровья в больших городах"	"нет"	"нет"	"нет"	"проза"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Смесь"	"Смесь"	125	127	3	"1847_2_29"	"Дата цензурного разрешения не установлена окончательно."
60	57	"Ильенков П. А."	"под вопросом"	"нет"	"нет"	"Естественное образование серной кислоты"	"нет"	"нет"	"нет"	"проза"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Смесь"	"Смесь"	127	129	3	"1847_2_30"	"Дата цензурного разрешения не установлена окончательно."
61	58	"Комаров А. С."	"под вопросом"	"нет"	"нет"	"Первая лекция небесной механики — Леверрье, в Парижском университете"	"нет"	"нет"	"нет"	"проза"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Смесь"	"Смесь"	129	131	3	"1847_2_31"	"Дата цензурного разрешения не установлена окончательно."
62	59	"Ильенков П. А."	"под вопросом"	"нет"	"нет"	"Серный эфир как средство, уничтожающее боль при операциях"	"нет"	"нет"	"нет"	"проза"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Смесь"	"Смесь"	131	133	3	"1847_2_32"	"Дата цензурного разрешения не установлена окончательно."
63	60	"Ильенков П. А."	"под вопросом"	"нет"	"нет"	"Новые исследования о составе воздуха в конюшнях"	"нет"	"нет"	"нет"	"проза"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Смесь"	"Смесь"	133	134	2	"1847_2_33"	"Дата цензурного разрешения не установлена окончательно."
64	61	"неизвестный"	"не установлено"	"нет"	"нет"	"Известия о новейших ученых путешествиях"	"нет"	"нет"	"нет"	"проза"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Смесь"	"Смесь"	134	135	2	"1847_2_34"	"Дата цензурного разрешения не установлена окончательно."
65	62	"Комаров А. С."	"под вопросом"	"нет"	"нет"	"Метеорологические наблюдения"	"нет"	"нет"	"нет"	"проза"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Смесь"	"Смесь"	135	138	4	"1847_2_35"	"Дата цензурного разрешения не установлена окончательно."
66	63	"неизвестный"	"не установлено"	"нет"	"нет"	"Британский музеум"	"нет"	"нет"	"нет"	"проза"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Смесь"	"Смесь"	138	142	5	"1847_2_36"	"Дата цензурного разрешения не установлена окончательно."
67	4711	"Анненков П. В."	"установлено"	"П. А—в"	"П. А—ва"	"Письмо из Парижа, 4-го января"	"2"	"нет"	"нет"	"проза"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Смесь"	"Смесь"	142	152	11	"1847_2_37"	"Дата цензурного разрешения не установлена окончательно. Название в оглавлении: «Второе письмо из Парижа»."
68	64	"Станкевич А. В."	"установлено"	"***"	"нет"	"Из переписки двух барышень"	"нет"	"нет"	"нет"	"проза"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Смесь"	"Смесь"	153	164	12	"1847_2_38"	"Дата цензурного разрешения не установлена окончательно."
69	65	"Панаев И. И."	"установлено"	"нет"	"нет"	"Опыт в драме — Нового поэта. Два отрывка из драматической грезы. Доменико Фети, или Непризнанный гений"	"нет"	"нет"	"нет"	"проза"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Смесь"	"Смесь"	164	170	7	"1847_2_39"	"Дата цензурного разрешения не установлена окончательно."
70	66	"Белинский В. Г., Никитенко А. В., неизвестный"	"установлено частично"	"нет"	"нет"	"Современные заметки"	"нет"	"нет"	"нет"	"проза"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Смесь"	"Смесь"	170	200	31	"1847_2_40"	"Дата цензурного разрешения не установлена окончательно."
71	67	"неизвестный"	"не установлено"	"нет"	"нет"	"Базар и концерт. В доме графа М. Ю. Виельгорского"	"нет"	"нет"	"нет"	"проза"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Смесь"	"Смесь"	201	204	4	"1847_2_41"	"Дата цензурного разрешения не установлена окончательно."
72	68	"Панаев И. И., Панаева А. Я."	"установлено"	"нет"	"нет"	"<Моды>"	"нет"	"нет"	"нет"	"проза"	1847	"неизвестно"	"30.12.1846"	"Ивановский И. А., Куторга С. С."	"I"	"2"	"Моды"	"Моды"	3	5	3	"1847_2_42"	"Дата цензурного разрешения не установлена окончательно."
73	4686	"Гончаров И. А."	"установлено"	"нет"	"И. А. Гончарова"	"Обыкновенная история. Роман в двух частях"	"1"	"нет"	"нет"	"проза"	1847	"02.03.1847"	"28.02.1847"	"Ивановский И. А., Куторга С. С."	"II"	"3"	"Словесность"	"Словесность"	5	158	154	"1847_3_1"	""
74	69	"Диккенс Ч."	"установлено"	"А. Кронеберг"	"А. И. Кронеберга"	"Битва жизни. Повесть Ч. Диккенса"	"нет"	"Кронеберг А. И."	"нет"	"проза"	1847	"02.03.1847"	"28.02.1847"	"Ивановский И. А., Куторга С. С."	"II"	"3"	"Словесность"	"Словесность"	159	238	80	"1847_3_2"	""
75	70	"Некрасов Н. А."	"установлено"	"Н. Некрасов"	"Н. А. Некрасова"	"Нравственный человек («Живя согласно с строгою моралью...»)"	"нет"	"нет"	"нет"	"стихи"	1847	"02.03.1847"	"28.02.1847"	"Ивановский И. А., Куторга С. С."	"II"	"3"	"Словесность"	"Словесность"	239	240	2	"1847_3_3"	""
76	71	"Савич А. Н."	"установлено"	"Савич"	"А. Н. Савича"	"Опыт общепонятного исторического рассказа о том, как открыта новая планета Нептун"	"нет"	"нет"	"нет"	"проза"	1847	"02.03.1847"	"28.02.1847"	"Ивановский И. А., Куторга С. С."	"II"	"3"	"Науки и художества"	"Науки и художества"	1	20	20	"1847_3_4"	""
77	72	"Герцен А. И."	"установлено"	"Искандер"	"Искандера"	"Новые вариации на старые темы"	"нет"	"нет"	"нет"	"проза"	1847	"02.03.1847"	"28.02.1847"	"Ивановский И. А., Куторга С. С."	"II"	"3"	"Науки и художества"	"Науки и художества"	21	31	11	"1847_3_5"	""
78	4726	"Боткин В. П."	"установлено"	"В. Боткин"	"В. П. Боткина"	"Письма об Испании"	"1"	"нет"	"нет"	"проза"	1847	"02.03.1847"	"28.02.1847"	"Ивановский И. А., Куторга С. С."	"II"	"3"	"Науки и художества"	"Науки и художества"	32	62	31	"1847_3_6"	""
79	73	"Кавелин К. Д."	"установлено"	"К. К—н"	"К—на"	"Чтения в Императорском обществе истории и древностей российских при Московском университете. № 5. М. 1847"	"нет"	"нет"	"нет"	"проза"	1847	"02.03.1847"	"28.02.1847"	"Ивановский И. А., Куторга С. С."	"II"	"3"	"Критика и библиография"	"Критика и библиография"	1	38	38	"1847_3_7"	""
80	74	"Перевощиков Д. М."	"установлено"	"Д. П."	"нет"	"Expédition chronométrique, и пр. Хронометрическая экспедиция, повелением Его Величества Императора Николая I исполненная между Алыпоной и Греньвичем для определения географической долготы центральной русской обсерватории. Посвящена Е. В. Королеве английской Виктории. СПб. 1846. В типографии Императорской академии наук. В лист"	"нет"	"нет"	"нет"	"проза"	1847	"02.03.1847"	"28.02.1847"	"Ивановский И. А., Куторга С. С."	"II"	"3"	"Критика и библиография"	"Критика и библиография"	38	41	4	"1847_3_8"	""
